file_id,speaker_id,split,label,attack_id,protocol_file,audio_path
LA_E_3173218,LA_0036,eval,spoof,A09,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_3173218.flac
LA_D_8049554,LA_0077,dev,bonafide,,ASVspoof2019.LA.cm.dev.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_8049554.flac
LA_D_2156985,LA_0108,dev,bonafide,,ASVspoof2019.LA.cm.dev.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_2156985.flac
LA_D_4832275,LA_0078,dev,spoof,A06,ASVspoof2019.LA.cm.dev.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_4832275.flac
LA_E_1033624,LA_0030,eval,spoof,A15,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_1033624.flac
LA_T_3993688,LA_0094,train,spoof,A03,ASVspoof2019.LA.cm.train.trn.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_train\flac\LA_T_3993688.flac
LA_E_2165928,LA_0020,eval,spoof,A15,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_2165928.flac
LA_E_6180790,LA_0014,eval,spoof,A16,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_6180790.flac
LA_T_1956054,LA_0090,train,spoof,A05,ASVspoof2019.LA.cm.train.trn.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1956054.flac
LA_D_3524266,LA_0107,dev,bonafide,,ASVspoof2019.LA.cm.dev.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_3524266.flac
LA_E_9121117,LA_0034,eval,spoof,A10,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_9121117.flac
LA_E_3123597,LA_0022,eval,spoof,A18,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_3123597.flac
LA_D_9644461,LA_0070,dev,spoof,A04,ASVspoof2019.LA.cm.dev.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_dev\flac\LA_D_9644461.flac
LA_T_9605518,LA_0085,train,spoof,A03,ASVspoof2019.LA.cm.train.trn.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_train\flac\LA_T_9605518.flac
LA_E_5701577,LA_0009,eval,spoof,A15,ASVspoof2019.LA.cm.eval.trl.txt,D:\Download\DAP391m\demo\data\LA\LA\ASVspoof2019_LA_eval\flac\LA_E_5701577.flac
